kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
kernel-1.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 1, 1, 1, 1, 16, 1, 1, 16, 789,789
kernel-2.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 2, 1, 1, 2, 16, 1, 1, 16, 1578,1578
kernel-3.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 3, 1, 1, 3, 16, 1, 1, 16, 2367,2367
kernel-4.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 4, 1, 1, 4, 16, 1, 1, 16, 3156,3156
kernel-5.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 5, 1, 1, 5, 16, 1, 1, 16, 3945,3945
kernel-6.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 6, 1, 1, 6, 16, 1, 1, 16, 4734,4734
kernel-7.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 7, 1, 1, 7, 16, 1, 1, 16, 5523,5523
kernel-8.trace, _Z20needle_cuda_shared_1PiS_S_iiii, 8, 1, 1, 8, 16, 1, 1, 16, 6312,6312
kernel-9.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 7, 1, 1, 7, 16, 1, 1, 16, 5523,5523
kernel-10.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 6, 1, 1, 6, 16, 1, 1, 16, 4734,4734
kernel-11.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 5, 1, 1, 5, 16, 1, 1, 16, 3945,3945
kernel-12.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 4, 1, 1, 4, 16, 1, 1, 16, 3156,3156
kernel-13.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 3, 1, 1, 3, 16, 1, 1, 16, 2367,2367
kernel-14.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 2, 1, 1, 2, 16, 1, 1, 16, 1578,1578
kernel-15.trace, _Z20needle_cuda_shared_2PiS_S_iiii, 1, 1, 1, 1, 16, 1, 1, 16, 789,789
