kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
kernel-1.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-2.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-3.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-4.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-5.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-6.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-7.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-8.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-9.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-10.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-11.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-12.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-13.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-14.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-15.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-16.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-17.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-18.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-19.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-20.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-21.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-22.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-23.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-24.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-25.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-26.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-27.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-28.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-29.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
kernel-30.trace, _Z12pgain_kerneliilP5PointiPfS1_PiPb, 2, 1, 1, 2, 512, 1, 1, 512, 5364,5364
